0.042575	0
0.045175	2
0.0478	4
0.053425	3
0.0611	1
0.084425	4
0.08455	2
0.087625	0
0.114525	1
0.11465	3
0.128725	0
0.130575	2
0.1388	4
0.1519	1
0.155725	3
0.1771	2
0.180275	0
0.1908	4
0.20185	1
0.203675	3
0.222975	0
0.22485	2
0.22675	4
0.24095	1
0.2507	3
0.260825	0
0.26615	2
0.280775	4
0.287175	1
0.299575	3
0.299925	0
0.3061	2
0.3257	4
0.331625	1
0.343725	0
0.35495	2
0.362075	3
0.37475	4
0.382575	1
0.388875	2
0.392725	0
0.4067	3
0.430025	1
0.4302	4
0.431825	2
0.43745	0
0.4529	3
0.458275	1
0.464	2
0.4673	4
0.4893	0
0.492225	3
0.501425	2
0.502075	1
0.52085	4
0.535325	0
0.54015	3
0.546275	2
0.5492	1
0.56425	4
0.582375	3
0.5863	0
0.595375	2
0.5962	1
0.60125	4
0.6321	4
0.632925	3
0.6454	2
0.6475	1
0.65275	0
0.66735	4
0.67235	3
0.68535	2
0.69555	0
0.704075	4
0.705075	1
0.705725	3
0.735725	2
0.742725	1
0.7433	0
0.753675	4
0.7545	3
0.777475	2
0.78985	1
0.7909	3
0.799025	0
0.8084	4
0.818125	2
0.828675	1
0.837225	0
0.844125	3
0.86065	4
0.8627	2
0.8704	1
0.879075	3
0.881	0
0.910525	4
0.91225	1
0.91395	3
0.914725	2
0.932225	0
0.95515	4
0.960475	3
0.9654	2
0.967475	1
0.97065	0
